t_s,lat_deg,lon_deg,alt_raw,alt_m,sats,fix,horzv,vertv,head
-0.8999998569488525,34.4949783,-116.9577408,2871,875.0808000000001,21,3,0,0,132
-0.7999999523162842,34.4949783,-116.9577408,2871,875.0808000000001,21,3,0,0,-21
-0.7000000476837158,34.4949783,-116.9577409,2871,875.0808000000001,21,3,0,0,-25
-0.5999999046325684,34.4949783,-116.9577409,2871,875.0808000000001,21,3,0,0,164
-0.5,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,71
-0.39999985694885254,34.4949782,-116.9577409,2871,875.0808000000001,21,3,0,0,-125
-0.2999999523162842,34.4949782,-116.9577409,2871,875.0808000000001,21,3,0,0,-26
-0.20000004768371582,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,40
-0.09999990463256836,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,-164
0.0,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,1
0.0,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,1
0.10000014305114746,34.4949782,-116.9577408,2871,875.0808000000001,21,3,0,0,-152
0.20000004768371582,34.4949781,-116.9577408,2871,875.0808000000001,21,3,0,0,-152
0.2999999523162842,34.4949781,-116.9577408,2871,875.0808000000001,21,3,0,0,-168
0.40000009536743164,34.4949781,-116.9577408,2871,875.0808000000001,21,3,0,0,26
0.5,34.494978,-116.9577408,2871,875.0808000000001,21,3,0,0,-7
0.6000001430511475,34.494978,-116.9577408,2871,875.0808000000001,21,3,0,0,90
0.7000000476837158,34.494978,-116.9577408,2871,875.0808000000001,21,3,0,0,101
0.7999999523162842,34.494978,-116.9577408,2871,875.0808000000001,21,3,0,0,-56
0.9000000953674316,34.4949779,-116.9577408,2871,875.0808000000001,21,3,0,0,-126
1.0,34.4949779,-116.9577408,2871,875.0808000000001,21,3,0,0,55
1.1000001430511475,34.4949779,-116.9577408,2871,875.0808000000001,21,3,0,0,148
1.2000000476837158,34.4949778,-116.9577408,2871,875.0808000000001,21,3,0,0,-106
1.2999999523162842,34.4949778,-116.9577409,2871,875.0808000000001,21,3,0,0,-104
1.4000000953674316,34.4949777,-116.9577409,2871,875.0808000000001,21,3,0,0,136
1.5,34.4949777,-116.9577409,2871,875.0808000000001,21,3,0,0,132
1.6000001430511475,34.4949776,-116.9577409,2872,875.3856000000001,21,3,0,0,-110
1.7000000476837158,34.4949776,-116.957741,2872,875.3856000000001,21,3,0,0,28
1.7999999523162842,34.4949776,-116.9577409,2872,875.3856000000001,21,3,0,0,53
1.9000000953674316,34.4949776,-116.9577408,2871,875.0808000000001,21,3,0,0,120
2.0,34.4949776,-116.9577409,2872,875.3856000000001,21,3,0,0,-39
2.1000001430511475,34.4949777,-116.9577409,2871,875.0808000000001,21,3,0,0,24
2.200000047683716,34.4949776,-116.9577408,2871,875.0808000000001,21,3,0,0,153
2.299999952316284,34.4949773,-116.9577416,2872,875.3856000000001,21,3,5,5,-115
2.4000000953674316,34.4949779,-116.9577424,2872,875.3856000000001,21,3,5,8,-7
2.5,34.4949803,-116.9577438,2873,875.6904000000001,21,3,12,11,-40
2.6000001430511475,34.4949808,-116.9577481,2875,876.3000000000001,21,3,17,26,-110
2.700000047683716,34.4949781,-116.9577596,2878,877.2144000000001,20,3,46,47,-111
2.700000047683716,34.4949781,-116.9577596,2878,877.2144000000001,20,3,46,47,-111
2.799999952316284,34.4949732,-116.957777,2882,878.4336000000001,19,3,63,54,-111
2.9000000953674316,34.494969,-116.9577931,2884,879.0432000000001,19,3,51,29,-108
3.0,34.4949704,-116.9578104,2881,878.1288000000001,19,3,58,-23,-78
3.1000001430511475,34.4949738,-116.9578284,2876,876.6048000000001,19,3,55,-54,-78
3.200000047683716,34.4949744,-116.9578424,2869,874.4712000000001,19,3,36,-62,-93
3.299999952316284,34.4949707,-116.9578448,2860,871.7280000000001,18,3,19,-82,167
3.4000000953674316,34.4949713,-116.957844,2850,868.6800000000001,18,3,7,-97,-2
3.5,34.4949719,-116.957853,2835,864.1080000000001,17,3,49,-144,-95
4.900000095367432,34.4950717,-116.9578478,3441,1048.8168,7,3,78,939,41
5.0,34.4951007,-116.9578766,3608,1099.7184,9,3,86,1039,44
5.200000047683716,34.4952205,-116.9579444,3862,1177.1376,8,3,85,1045,45
5.299999952316284,34.495263,-116.9579346,3986,1214.9328,9,3,85,1036,45
5.400000095367432,34.4952864,-116.9579255,4109,1252.4232,10,3,87,1027,46
5.5,34.495304,-116.9578975,4223,1287.1704,9,3,84,1014,46
5.6000001430511475,34.4953223,-116.957854,4345,1324.356,11,3,83,1002,45
5.700000047683716,34.4953319,-116.9578216,4455,1357.884,7,3,82,989,45
5.799999952316284,34.4953474,-116.9578057,4566,1391.7168000000001,7,3,80,973,45
5.900000095367432,34.4953719,-116.9578112,4681,1426.7688,7,3,79,962,45
6.0,34.4953969,-116.9577868,4795,1461.516,7,3,78,949,44
6.1000001430511475,34.4954216,-116.9577596,4907,1495.6536,7,3,78,939,44
6.200000047683716,34.4954485,-116.9577283,5020,1530.096,7,3,79,930,44
6.299999952316284,34.495481,-116.9576878,5148,1569.1104,13,3,79,924,45
6.400000095367432,34.4955098,-116.9576459,5256,1602.0288,8,3,77,910,45
6.5,34.4955259,-116.9576168,5370,1636.776,8,3,76,898,45
6.6000001430511475,34.4955467,-116.9575833,5484,1671.5232,8,3,75,888,45
6.700000047683716,34.4955631,-116.9575576,5596,1705.6608,8,3,74,877,45
6.799999952316284,34.4955798,-116.9575217,5729,1746.1992,15,3,74,869,44
6.900000095367432,34.4955931,-116.9575028,5844,1781.2512000000002,7,3,71,857,44
7.0,34.4956101,-116.9574712,5970,1819.6560000000002,9,3,72,848,44
7.1000001430511475,34.4956328,-116.9574212,6094,1857.4512000000002,11,3,72,840,44
7.200000047683716,34.4956644,-116.9573607,6236,1900.7328,11,3,72,831,44
7.299999952316284,34.4956873,-116.9573061,6365,1940.0520000000001,11,3,71,822,45
7.400000095367432,34.4957125,-116.9572424,6502,1981.8096,11,3,70,812,45
7.5,34.495737,-116.957183,6642,2024.4816,12,3,69,803,45
7.6000001430511475,34.4957526,-116.9571404,6791,2069.8968,11,3,69,795,45
7.700000047683716,34.4957575,-116.9571157,6932,2112.8736,11,3,68,787,45
7.799999952316284,34.4957628,-116.9570921,7072,2155.5456,11,3,67,778,45
7.900000095367432,34.4957632,-116.9570412,7234,2204.9232,13,3,67,770,44
8.0,34.4957671,-116.9570078,7363,2244.2424,13,3,67,762,44
8.100000143051147,34.4957715,-116.9569756,7487,2282.0376,14,3,66,755,44
8.200000047683716,34.4957813,-116.9569429,7597,2315.5656,15,3,67,748,44
8.299999952316284,34.4957917,-116.9569013,7710,2350.0080000000003,12,3,66,739,44
8.400000095367432,34.495802,-116.9568598,7819,2383.2312,13,3,65,731,45
8.5,34.4958115,-116.9568193,7931,2417.3688,13,3,65,723,45
8.600000143051147,34.4958224,-116.9567852,8034,2448.7632000000003,13,3,64,716,46
8.700000047683716,34.4958364,-116.9567612,8138,2480.4624000000003,13,3,63,709,45
8.799999952316284,34.4958509,-116.9567381,8239,2511.2472000000002,15,3,62,702,45
8.900000095367432,34.4958641,-116.9567158,8334,2540.2032,16,3,62,695,45
9.0,34.4958752,-116.9566974,8419,2566.1112000000003,16,3,62,687,45
9.100000143051147,34.495886,-116.9566811,8498,2590.1904,16,3,62,681,45
9.200000047683716,34.495897,-116.9566648,8574,2613.3552,16,3,61,674,44
9.299999952316284,34.4959077,-116.956649,8648,2635.9104,16,3,62,668,45
9.400000095367432,34.4959198,-116.9566313,8721,2658.1608,16,3,61,661,45
9.5,34.4959324,-116.9566113,8794,2680.4112,16,3,61,653,45
9.600000143051147,34.4959453,-116.9565904,8868,2702.9664000000002,16,3,60,647,45
9.700000047683716,34.4959587,-116.9565711,8942,2725.5216,17,3,60,640,45
9.799999952316284,34.4959748,-116.9565535,9017,2748.3816,17,3,59,634,46
9.900000095367432,34.4959906,-116.9565371,9090,2770.632,17,3,59,628,46
10.0,34.496005,-116.9565212,9160,2791.9680000000003,16,3,58,622,46
10.100000143051147,34.4960181,-116.9565052,9229,2812.9992,17,3,58,615,45
10.200000047683716,34.4960298,-116.9564904,9294,2832.8112,16,3,58,609,45
10.299999952316284,34.4960406,-116.9564771,9356,2851.7088000000003,14,3,58,603,45
10.400000095367432,34.4960518,-116.9564631,9419,2870.9112,17,3,57,597,45
10.5,34.4960629,-116.9564491,9480,2889.5040000000004,17,3,57,591,45
10.600000143051147,34.4960735,-116.9564349,9542,2908.4016,18,3,57,586,45
10.700000047683716,34.4960841,-116.9564205,9602,2926.6896,18,3,57,579,45
10.799999952316284,34.4960945,-116.9564058,9662,2944.9776,18,3,56,574,45
10.900000095367432,34.4961053,-116.9563913,9722,2963.2656,18,3,56,568,46
11.0,34.4961157,-116.956377,9782,2981.5536,18,3,56,562,46
11.100000143051147,34.4961277,-116.9563628,9841,2999.5368000000003,17,3,55,556,46
11.200000047683716,34.4961395,-116.9563491,9900,3017.52,18,3,55,550,46
11.299999952316284,34.4961522,-116.9563352,9958,3035.1984,18,3,54,545,46
11.400000095367432,34.4961647,-116.9563215,10016,3052.8768,19,3,54,539,45
11.5,34.4961763,-116.9563076,10073,3070.2504000000004,18,3,54,534,45
11.600000143051147,34.496187,-116.9562945,10128,3087.0144,18,3,54,528,45
11.700000047683716,34.4961976,-116.9562816,10182,3103.4736000000003,18,3,54,523,45
11.799999952316284,34.4962081,-116.9562687,10235,3119.628,16,3,54,518,45
11.900000095367432,34.4962186,-116.9562559,10288,3135.7824,16,3,53,513,45
12.0,34.4962289,-116.9562428,10340,3151.632,17,3,54,507,45
12.100000143051147,34.4962392,-116.9562297,10391,3167.1768,18,3,53,502,45
12.200000047683716,34.4962494,-116.9562166,10442,3182.7216000000003,18,3,53,497,45
12.299999952316284,34.4962596,-116.9562035,10493,3198.2664,17,3,53,492,45
12.400000095367432,34.49627,-116.9561904,10543,3213.5064,19,3,52,487,45
12.5,34.4962806,-116.9561773,10594,3229.0512000000003,19,3,52,481,46
12.600000143051147,34.4962913,-116.9561642,10643,3243.9864000000002,18,3,52,476,46
12.700000047683716,34.4963024,-116.9561516,10693,3259.2264,18,3,51,472,46
12.799999952316284,34.4963141,-116.956139,10742,3274.1616000000004,18,3,51,467,46
12.900000095367432,34.4963252,-116.9561263,10791,3289.0968000000003,18,3,51,462,46
13.0,34.496336,-116.9561137,10838,3303.4224000000004,17,3,51,457,45
13.100000143051147,34.4963466,-116.9561012,10885,3317.748,18,3,51,452,45
13.200000047683716,34.4963566,-116.9560888,10931,3331.7688000000003,18,3,50,447,45
13.400000095367432,34.4963763,-116.9560642,11021,3359.2008,18,3,50,438,45
13.5,34.4963862,-116.956052,11066,3372.9168,18,3,51,433,45
13.600000143051147,34.4963961,-116.9560396,11109,3386.0232,19,3,50,429,45
13.700000047683716,34.496406,-116.9560272,11153,3399.4344,19,3,50,424,45
13.799999952316284,34.4964159,-116.9560148,11196,3412.5408,19,3,50,419,45
13.900000095367432,34.4964258,-116.9560025,11239,3425.6472000000003,19,3,50,415,45
14.0,34.4964357,-116.9559902,11281,3438.4488,19,3,50,410,45
14.100000143051147,34.4964458,-116.955978,11323,3451.2504000000004,19,3,50,406,45
14.200000047683716,34.4964557,-116.9559658,11364,3463.7472000000002,19,3,49,401,46
14.299999952316284,34.4964658,-116.9559537,11405,3476.244,18,3,49,397,46
14.299999952316284,34.4964658,-116.9559537,11405,3476.244,18,3,49,397,46
14.400000095367432,34.4964756,-116.9559417,11446,3488.7408,19,3,49,393,46
14.5,34.496486,-116.9559299,11486,3500.9328,19,3,49,388,46
14.600000143051147,34.4964964,-116.955918,11526,3513.1248,19,3,49,384,46
14.700000047683716,34.4965066,-116.9559062,11566,3525.3168,19,3,48,379,46
14.799999952316284,34.4965165,-116.9558943,11605,3537.204,19,3,48,375,45
14.900000095367432,34.4965264,-116.9558825,11643,3548.7864,18,3,48,371,46
15.0,34.4965359,-116.9558708,11681,3560.3688,18,3,48,366,45
15.100000143051147,34.4965454,-116.9558592,11718,3571.6464,18,3,48,362,45
15.200000047683716,34.4965548,-116.9558476,11755,3582.924,18,3,48,358,45
15.400000095367432,34.4965736,-116.9558242,11826,3604.5648,19,3,48,350,45
15.5,34.4965832,-116.9558124,11862,3615.5376,19,3,48,346,45
15.600000143051147,34.4965927,-116.9558006,11897,3626.2056000000002,20,3,48,341,46
15.700000047683716,34.496602,-116.955789,11931,3636.5688,20,3,48,337,45
15.799999952316284,34.4966113,-116.9557774,11965,3646.9320000000002,20,3,48,334,45
15.900000095367432,34.4966206,-116.9557659,11998,3656.9904,20,3,48,329,45
16.0,34.4966299,-116.9557544,12031,3667.0488,21,3,48,325,45
16.100000143051147,34.4966391,-116.9557429,12064,3677.1072000000004,21,3,48,321,46
16.200000047683716,34.4966483,-116.9557315,12096,3686.8608000000004,21,3,47,317,45
16.299999952316284,34.4966574,-116.9557201,12127,3696.3096,20,3,47,313,45
16.299999952316284,34.4966574,-116.9557201,12127,3696.3096,20,3,47,313,45
16.40000009536743,34.4966667,-116.9557086,12159,3706.0632,21,3,47,309,45
16.5,34.496676,-116.9556972,12190,3715.512,21,3,47,305,46
16.600000143051147,34.4966856,-116.9556858,12221,3724.9608000000003,20,3,47,302,46
16.700000047683716,34.4966952,-116.9556745,12252,3734.4096000000004,21,3,47,298,45
16.799999952316284,34.4967048,-116.9556631,12282,3743.5536,21,3,47,294,46
16.90000009536743,34.4967143,-116.9556517,12312,3752.6976,21,3,47,290,46
17.0,34.4967237,-116.9556404,12342,3761.8416,19,3,47,286,46
17.100000143051147,34.496733,-116.955629,12371,3770.6808,19,3,47,282,45
17.200000047683716,34.4967423,-116.9556177,12399,3779.2152,19,3,47,279,46
17.40000009536743,34.4967603,-116.955595,12455,3796.284,21,3,47,271,46
17.5,34.4967693,-116.9555836,12482,3804.5136,21,3,47,267,45
17.600000143051147,34.4967782,-116.9555723,12509,3812.7432000000003,21,3,46,263,46
17.700000047683716,34.4967872,-116.9555609,12536,3820.9728,21,3,46,260,45
17.799999952316284,34.4967961,-116.9555496,12562,3828.8976000000002,21,3,46,256,45
17.90000009536743,34.496805,-116.9555383,12588,3836.8224,20,3,46,253,46
18.0,34.4968138,-116.9555271,12613,3844.4424000000004,20,3,46,249,46
18.100000143051147,34.4968226,-116.9555158,12638,3852.0624000000003,19,3,46,245,46
18.200000047683716,34.4968315,-116.9555046,12662,3859.3776000000003,20,3,46,242,46
18.299999952316284,34.4968405,-116.9554933,12687,3866.9976,21,3,46,238,46
18.299999952316284,34.4968405,-116.9554933,12687,3866.9976,21,3,46,238,46
18.40000009536743,34.4968494,-116.955482,12711,3874.3128,21,3,46,234,46
18.5,34.4968584,-116.9554707,12734,3881.3232000000003,21,3,46,231,46
18.600000143051147,34.4968674,-116.9554594,12757,3888.3336000000004,21,3,46,227,46
18.700000047683716,34.4968764,-116.9554482,12780,3895.344,21,3,46,223,46
18.799999952316284,34.4968856,-116.9554369,12803,3902.3544,21,3,46,220,46
18.90000009536743,34.496895,-116.9554256,12826,3909.3648000000003,21,3,46,216,46
19.0,34.4969042,-116.9554144,12848,3916.0704,21,3,46,213,46
19.100000143051147,34.4969135,-116.9554032,12870,3922.7760000000003,21,3,46,209,46
19.200000047683716,34.4969222,-116.9553922,12891,3929.1768,21,3,45,206,46
19.299999952316284,34.496931,-116.9553813,12912,3935.5776,21,3,45,202,46
19.40000009536743,34.4969398,-116.9553704,12932,3941.6736,21,3,45,199,46
19.5,34.4969485,-116.9553594,12952,3947.7696,21,3,45,195,46
19.600000143051147,34.4969572,-116.9553484,12972,3953.8656,21,3,45,191,46
19.700000047683716,34.4969658,-116.9553375,12991,3959.6568,21,3,45,188,46
19.799999952316284,34.4969745,-116.9553265,13010,3965.4480000000003,21,3,45,184,46
19.90000009536743,34.4969831,-116.9553155,13029,3971.2392,21,3,45,181,46
20.0,34.4969917,-116.9553045,13047,3976.7256,21,3,45,178,46
20.100000143051147,34.4970003,-116.9552935,13065,3982.212,21,3,45,174,46
20.200000047683716,34.497009,-116.9552825,13083,3987.6984,21,3,45,171,46
20.299999952316284,34.4970177,-116.9552716,13100,3992.88,21,3,45,167,46
20.40000009536743,34.4970264,-116.9552606,13117,3998.0616,21,3,45,164,47
20.5,34.4970349,-116.9552496,13134,4003.2432000000003,21,3,45,161,46
20.600000143051147,34.4970434,-116.9552386,13150,4008.1200000000003,21,3,44,157,46
20.700000047683716,34.4970519,-116.9552276,13166,4012.9968000000003,21,3,45,154,46
20.799999952316284,34.4970604,-116.9552166,13182,4017.8736000000004,21,3,45,150,46
20.90000009536743,34.4970689,-116.9552058,13197,4022.4456,21,3,45,147,46
21.0,34.4970774,-116.9551949,13212,4027.0176,21,3,44,144,46
21.100000143051147,34.4970858,-116.9551839,13226,4031.2848000000004,21,3,45,141,46
21.200000047683716,34.4970943,-116.955173,13241,4035.8568,21,3,44,137,46
21.40000009536743,34.4971112,-116.9551512,13268,4044.0864,21,3,44,131,46
21.5,34.4971196,-116.9551402,13281,4048.0488,21,3,44,127,47
21.600000143051147,34.497128,-116.9551293,13294,4052.0112000000004,21,3,44,124,46
21.700000047683716,34.4971363,-116.9551183,13306,4055.6688000000004,21,3,44,120,47
21.799999952316284,34.4971447,-116.9551074,13318,4059.3264000000004,21,3,44,117,47
21.90000009536743,34.497153,-116.9550965,13330,4062.9840000000004,21,3,44,114,47
22.0,34.4971614,-116.9550857,13341,4066.3368,21,3,44,111,47
22.100000143051147,34.4971698,-116.9550748,13352,4069.6896,21,3,44,107,47
22.200000047683716,34.4971781,-116.955064,13363,4073.0424000000003,21,3,44,104,47
22.299999952316284,34.4971865,-116.9550532,13373,4076.0904,21,3,44,101,47
22.299999952316284,34.4971865,-116.9550532,13373,4076.0904,21,3,44,101,47
22.40000009536743,34.4971949,-116.9550424,13383,4079.1384000000003,21,3,44,97,47
22.5,34.4972032,-116.9550316,13393,4082.1864,21,3,44,94,47
22.600000143051147,34.4972116,-116.9550209,13402,4084.9296000000004,21,3,44,91,47
22.700000047683716,34.4972198,-116.9550101,13411,4087.6728000000003,21,3,44,87,47
22.799999952316284,34.4972281,-116.9549993,13420,4090.416,21,3,44,84,47
22.90000009536743,34.4972363,-116.9549885,13428,4092.8544,21,3,44,81,47
23.0,34.4972446,-116.9549778,13436,4095.2928,21,3,44,78,47
23.100000143051147,34.4972528,-116.954967,13444,4097.7312,21,3,44,74,47
23.200000047683716,34.4972609,-116.9549564,13451,4099.8648,21,3,44,71,47
23.299999952316284,34.4972691,-116.9549456,13459,4102.3032,21,3,44,68,47
23.40000009536743,34.4972773,-116.954935,13465,4104.1320000000005,21,3,44,64,47
23.5,34.4972854,-116.9549243,13472,4106.265600000001,21,3,44,62,47
