sim_id,motor_id,wind_profile_id,wind_station,wind_datetime_utc,heading_deg,inclination_deg,rail_length_m,pad_lat_deg,pad_lon_deg,apogee_time_s,apogee_alt_m,apogee_lat_deg,apogee_lon_deg,apogee_east_m,apogee_north_m
SIM_001_517I255-16A-16_USI0000KRPD_20030812T070000Z,517I255-16A-16,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,168.85386718292682,90.0,1.0,34.494996,-116.957763,11.734621027895937,1463.8635725313727,34.49499600154747,-116.95776858252346,-0.5116310987576104,0.000172092788255
SIM_002_HP-I140W-14_USI0000KRPD_20030819T070000Z,HP-I140W-14,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,21.427072683050085,90.0,1.0,34.494996,-116.957763,7.318552794797771,1071.908371339511,34.4949960001779,-116.95776408970258,-0.099869839065601,1.978258767539432e-05
SIM_003_517I255-16A-16_USI0000KRPD_20030816T080000Z,517I255-16A-16,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,3.245591760430905,90.0,1.0,34.494996,-116.957763,11.56414082905866,1453.602858459094,34.494996001472714,-116.95776839789949,-0.4947105487104854,0.0001637797861517
SIM_004_1013J453-16A-16_USI0000KRPD_20030818T050000Z,1013J453-16A-16,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,58.36929791401316,90.0,1.0,34.494996,-116.957763,18.614652587408543,2538.295934241916,34.49499601190728,-116.95778909381993,-2.391465059082879,0.0013244034082221
SIM_005_1013J453-16A-16_USI0000KRPD_20030819T180000Z,1013J453-16A-16,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,45.319889607137696,90.0,1.0,34.494996,-116.957763,18.68778215022695,2544.443791114329,34.49499601204931,-116.95778929695146,-2.410081804041708,0.0013402019606801
SIM_006_HP-I140W-14_USI0000KRPD_20030816T080000Z,HP-I140W-14,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,3.865437287048202,90.0,1.0,34.494996,-116.957763,7.176920448709196,1066.8483459191843,34.494996000165706,-116.95776403769324,-0.095103251095907,1.842801001832335e-05
SIM_007_1115J530-15A_USI0000KRPD_20030822T110000Z,1115J530-15A,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,33.801824331108264,90.0,1.0,34.494996,-116.957763,19.974938901590583,2843.7212248822425,34.49499601661083,-116.95779655232651,-3.0750276016205684,0.0018476413597481
SIM_008_1115J530-15A_USI0000KRPD_20030822T050000Z,1115J530-15A,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,25.205068472749737,90.0,1.0,34.494996,-116.957763,19.96659641616869,2842.919471083921,34.494996016590434,-116.9577965249048,-3.0725144352703397,0.0018453732358149
SIM_009_1013J453-16A-16_USI0000KRPD_20030812T070000Z,1013J453-16A-16,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,175.70095519246954,90.0,1.0,34.494996,-116.957763,18.703520995105865,2544.096041688903,34.494996012073635,-116.95778932230742,-2.4124056451272486,0.0013429081664363
SIM_010_517I255-16A-16_USI0000KRPD_20030818T050000Z,517I255-16A-16,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,52.50531658547264,90.0,1.0,34.494996,-116.957763,11.71381358697594,1463.7725016212282,34.494996001540294,-116.95776856856018,-0.5103513825926115,0.000171295344829
SIM_011_HP-I140W-14_USI0000KRPD_20030813T070000Z,HP-I140W-14,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,222.2379416962829,90.0,1.0,34.494996,-116.957763,7.307346950008111,1071.4920788936222,34.49499600017696,-116.95776408545684,-0.0994807222933883,1.9678688618159904e-05
SIM_012_1013J453-16A-16_USI0000KRPD_20030813T070000Z,1013J453-16A-16,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,226.561265568078,90.0,1.0,34.494996,-116.957763,18.703272543840917,2544.0691791602053,34.49499601207315,-116.95778932168062,-2.4123482002143226,0.0013428539617907
SIM_013_1115J530-15A_USI0000KRPD_20030814T070000Z,1115J530-15A,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,116.66270274578196,90.0,1.0,34.494996,-116.957763,20.0035168134439,2846.318428141617,34.49499601668709,-116.95779665264703,-3.0842218496918843,0.0018561248520208
SIM_014_1013J453-16A-16_USI0000KRPD_20030816T080000Z,1013J453-16A-16,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,16.605571527064498,90.0,1.0,34.494996,-116.957763,18.56588071976917,2529.676543739603,34.494996011783435,-116.95778889059326,-2.3728395951252885,0.0013106271343034
SIM_015_1115J530-15A_USI0000KRPD_20030816T080000Z,1115J530-15A,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,16.072850923310405,90.0,1.0,34.494996,-116.957763,19.848307873815067,2829.590185030903,34.49499601627497,-116.95779609144316,-3.032788233684267,0.0018102805758288
SIM_016_1013J453-16A-16_USI0000KRPD_20030822T110000Z,1013J453-16A-16,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,18.25968548522399,90.0,1.0,34.494996,-116.957763,18.69464739762589,2542.931989242936,34.494996012050336,-116.95778928709552,-2.409178516985501,0.0013403159167771
SIM_017_1115J530-15A_USI0000KRPD_20030818T050000Z,1115J530-15A,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,58.340379382299,90.0,1.0,34.494996,-116.957763,19.894132691144858,2837.9053209097,34.49499601642195,-116.9577963117166,-3.0529760133444643,0.0018266312878131
SIM_018_HP-I140W-14_USI0000KRPD_20030822T110000Z,HP-I140W-14,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,21.43407792428373,90.0,1.0,34.494996,-116.957763,7.261800375180961,1069.593612648879,34.49499600017276,-116.95776406722484,-0.0978097820889182,1.9212004204960312e-05
SIM_019_HP-I140W-14_USI0000KRPD_20030818T050000Z,HP-I140W-14,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,56.06690108292405,90.0,1.0,34.494996,-116.957763,7.321384861765577,1072.007057914894,34.49499600017821,-116.95776409073432,-0.0999643978529196,1.9817732229549228e-05
SIM_020_1013J453-16A-16_USI0000KRPD_20030817T170000Z,1013J453-16A-16,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,26.84988787817649,90.0,1.0,34.494996,-116.957763,18.69214946965943,2542.902787093708,34.49499601204833,-116.95778928487644,-2.408975143125605,0.0013400930198959
SIM_021_517I255-16A-16_USI0000KRPD_20030814T070000Z,517I255-16A-16,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,120.85979915380024,90.0,1.0,34.494996,-116.957763,11.743584601098537,1464.1372677601144,34.494996001550945,-116.95776859010456,-0.5123258964397901,0.0001724787702655
SIM_022_HP-I140W-14_USI0000KRPD_20030822T050000Z,HP-I140W-14,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,12.824319076604516,90.0,1.0,34.494996,-116.957763,7.273429426273249,1070.230256214718,34.49499600017394,-116.95776407264542,-0.0983065726301734,1.9343132095046887e-05
SIM_023_HP-I140W-14_USI0000KRPD_20030812T070000Z,HP-I140W-14,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,179.86443107128957,90.0,1.0,34.494996,-116.957763,7.309079266575093,1071.570932823609,34.49499600017712,-116.95776408617904,-0.0995469122624941,1.969673153622844e-05
SIM_024_1013J453-16A-16_USI0000KRPD_20030822T050000Z,1013J453-16A-16,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,28.50174574672291,90.0,1.0,34.494996,-116.957763,18.68642372523299,2542.157936596272,34.494996012034804,-116.95778926422383,-2.407082357734965,0.0013385886348623
SIM_025_1013J453-16A-16_USI0000KRPD_20030814T070000Z,1013J453-16A-16,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,129.9594326217225,90.0,1.0,34.494996,-116.957763,18.71380423507637,2545.0780503140736,34.49499601209422,-116.95778935235045,-2.415159048158267,0.0013451970506353
SIM_026_517I255-16A-16_USI0000KRPD_20030813T070000Z,517I255-16A-16,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,219.7857356233981,90.0,1.0,34.494996,-116.957763,11.73326640022111,1463.805881599229,34.49499600154692,-116.95776858119268,-0.5115091359777312,0.0001720313285458
SIM_027_517I255-16A-16_USI0000KRPD_20030822T110000Z,517I255-16A-16,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,23.02893584240485,90.0,1.0,34.494996,-116.957763,11.723137134525668,1461.863667478024,34.49499600153944,-116.9577685586548,-0.5094435660210724,0.0001712000246177
SIM_028_1115J530-15A_USI0000KRPD_20030813T070000Z,1115J530-15A,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,215.8218134502413,90.0,1.0,34.494996,-116.957763,19.99470348775696,2845.140738789766,34.49499601666315,-116.9577966187637,-3.081116485658973,0.0018534615310367
SIM_029_517I255-16A-16_USI0000KRPD_20030819T180000Z,517I255-16A-16,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,29.496214292562144,90.0,1.0,34.494996,-116.957763,11.74776240214545,1464.5632439123071,34.494996001553154,-116.95776859614784,-0.5128797563864488,0.0001727251836545
SIM_030_1115J530-15A_USI0000KRPD_20030817T170000Z,1115J530-15A,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,30.655010255346724,90.0,1.0,34.494996,-116.957763,19.968022780519878,2843.494646110465,34.49499601659686,-116.95779653596324,-3.0735279300082143,0.0018460892132308
SIM_031_HP-I140W-14_USI0000KRPD_20030814T070000Z,HP-I140W-14,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,128.44499461953097,90.0,1.0,34.494996,-116.957763,7.307079495730958,1071.4544259288434,34.49499600017689,-116.95776408521051,-0.0994581479918762,1.9671080836314295e-05
SIM_032_1115J530-15A_USI0000KRPD_20030819T180000Z,1115J530-15A,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,31.064037049388663,90.0,1.0,34.494996,-116.957763,19.948905636472173,2844.078661124932,34.49499601656208,-116.95779650429871,-3.0706259149772235,0.001842219179121
SIM_033_HP-I140W-14_USI0000KRPD_20030817T170000Z,HP-I140W-14,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.98854222941185,90.0,1.0,34.494996,-116.957763,7.289429091706041,1070.8729348802394,34.4949960001753,-116.95776407893452,-0.0988829593486752,1.949473030204456e-05
SIM_034_1013J453-16A-16_USI0000KRPD_20030819T070000Z,1013J453-16A-16,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,21.94460212999837,90.0,1.0,34.494996,-116.957763,18.67769077654699,2543.9070135144502,34.49499601203046,-116.95778927172351,-2.4077696966618736,0.0013381052487643
SIM_035_HP-I140W-14_USI0000KRPD_20030819T180000Z,HP-I140W-14,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,32.75314528420404,90.0,1.0,34.494996,-116.957763,7.316872159084874,1071.8432397899164,34.49499600017774,-116.95776408905284,-0.0998102896915892,1.9765407791108743e-05
SIM_036_517I255-16A-16_USI0000KRPD_20030822T050000Z,517I255-16A-16,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,12.83264189903242,90.0,1.0,34.494996,-116.957763,11.706240373311104,1461.7426235557498,34.49499600153402,-116.9577685481302,-0.5084790033416998,0.0001705976545769
SIM_037_517I255-16A-16_USI0000KRPD_20030817T170000Z,517I255-16A-16,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.95870038642006,90.0,1.0,34.494996,-116.957763,11.71040381628596,1462.4441868498957,34.4949960015368,-116.95776855637446,-0.5092345774784761,0.0001709064061848
