sim_id,motor_id,wind_profile_id,wind_station,wind_datetime_utc,heading_deg,inclination_deg,rail_length_m,pad_lat_deg,pad_lon_deg
SIM_025_1013J453-16A-16_USI0000KRPD_20030814T070000Z,1013J453-16A-16,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,129.9594326217225,90.0,1.0,34.494996,-116.957763
SIM_026_517I255-16A-16_USI0000KRPD_20030813T070000Z,517I255-16A-16,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,219.7857356233981,90.0,1.0,34.494996,-116.957763
SIM_027_517I255-16A-16_USI0000KRPD_20030822T110000Z,517I255-16A-16,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,23.02893584240485,90.0,1.0,34.494996,-116.957763
SIM_028_1115J530-15A_USI0000KRPD_20030813T070000Z,1115J530-15A,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,215.8218134502413,90.0,1.0,34.494996,-116.957763
SIM_029_517I255-16A-16_USI0000KRPD_20030819T180000Z,517I255-16A-16,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,29.496214292562144,90.0,1.0,34.494996,-116.957763
SIM_030_1115J530-15A_USI0000KRPD_20030817T170000Z,1115J530-15A,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,30.655010255346724,90.0,1.0,34.494996,-116.957763
SIM_031_HP-I140W-14_USI0000KRPD_20030814T070000Z,HP-I140W-14,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,128.44499461953097,90.0,1.0,34.494996,-116.957763
SIM_032_1115J530-15A_USI0000KRPD_20030819T180000Z,1115J530-15A,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,31.064037049388666,90.0,1.0,34.494996,-116.957763
SIM_033_HP-I140W-14_USI0000KRPD_20030817T170000Z,HP-I140W-14,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.98854222941185,90.0,1.0,34.494996,-116.957763
SIM_034_1013J453-16A-16_USI0000KRPD_20030819T070000Z,1013J453-16A-16,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,21.944602129998366,90.0,1.0,34.494996,-116.957763
SIM_035_HP-I140W-14_USI0000KRPD_20030819T180000Z,HP-I140W-14,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,32.75314528420404,90.0,1.0,34.494996,-116.957763
SIM_036_517I255-16A-16_USI0000KRPD_20030822T050000Z,517I255-16A-16,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,12.83264189903242,90.0,1.0,34.494996,-116.957763
SIM_037_517I255-16A-16_USI0000KRPD_20030817T170000Z,517I255-16A-16,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.95870038642006,90.0,1.0,34.494996,-116.957763
SIM_038_1115J530-15A_USI0000KRPD_20030812T070000Z,1115J530-15A,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,166.34093695516154,90.0,1.0,34.494996,-116.957763
SIM_039_1115J530-15A_USI0000KRPD_20030819T070000Z,1115J530-15A,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,15.842143102039323,90.0,1.0,34.494996,-116.957763
SIM_040_517I255-16A-16_USI0000KRPD_20030819T070000Z,517I255-16A-16,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,14.677374450771707,90.0,1.0,34.494996,-116.957763
